cs/string-concatenation-in-loop	cs/string-concatenation-in-loop	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeJournalingMailboxGeneralSettings.ascx.cs	68
cs/string-concatenation-in-loop	cs/string-concatenation-in-loop	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeCreateJournalingMailbox.ascx.cs	66
cs/string-concatenation-in-loop	cs/string-concatenation-in-loop	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/WebControlAdapterExtender.cs	257
cs/string-concatenation-in-loop	cs/string-concatenation-in-loop	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/WebControlAdapterExtender.cs	252
cs/string-concatenation-in-loop	cs/string-concatenation-in-loop	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/WebControlAdapterExtender.cs	248
cs/string-concatenation-in-loop	cs/string-concatenation-in-loop	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/WebControlAdapterExtender.cs	244
cs/linq/missed-where	cs/linq/missed-where	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsSelectDomainControl.ascx.cs	143
cs/linq/missed-where	cs/linq/missed-where	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsSelectDomainControl.ascx.cs	130
cs/linq/missed-where	cs/linq/missed-where	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Framework/Utils.cs	64
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/Global.asax.cs	145
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/Global.asax.cs	142
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SpaceImportResources.ascx.cs	55
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SettingsSfBUserPlansPolicy.ascx.cs	120
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SettingsLyncUserPlansPolicy.ascx.cs	120
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SettingsExchangePolicy.ascx.cs	35
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/RDS/UserControls/RDSCollectionUsers.ascx.cs	203
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/RDS/UserControls/RDSCollectionUsers.ascx.cs	173
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/RDS/UserControls/RDSCollectionUsers.ascx.cs	155
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/FileManager.ascx.cs	213
cs/static-field-written-by-instance	cs/static-field-written-by-instance	FuseCP/Sources/FuseCP.WebPortal/Code/SecureSessionModule.cs	39
cs/misleading-indentation	cs/misleading-indentation	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/SmarterMail_EditDomain.ascx.cs	105
cs/misleading-indentation	cs/misleading-indentation	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/Merak_EditDomain.ascx.cs	64
cs/misleading-indentation	cs/misleading-indentation	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/MailEnable_EditDomain.ascx.cs	83
cs/empty-block	cs/empty-block	FuseCP/Sources/FuseCP.WebPortal/Global.asax.cs	120
cs/empty-block	cs/empty-block	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SettingsExchangeMailboxPlansPolicy.ascx.cs	405
cs/empty-block	cs/empty-block	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SettingsExchangeMailboxPlansPolicy.ascx.cs	119
cs/empty-block	cs/empty-block	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeAddMailboxPlan.ascx.cs	280
cs/loss-of-precision	cs/loss-of-precision	FuseCP/Sources/FuseCP.WebPortal/Global.asax.cs	145
cs/loss-of-precision	cs/loss-of-precision	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeMailboxGeneralSettings.ascx.cs	200
cs/loss-of-precision	cs/loss-of-precision	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeMailboxGeneralSettings.ascx.cs	150
cs/loss-of-precision	cs/loss-of-precision	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeJournalingMailboxGeneralSettings.ascx.cs	137
cs/simplifiable-boolean-expression	cs/simplifiable-boolean-expression	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/TextHTML.ascx.cs	39
cs/simplifiable-boolean-expression	cs/simplifiable-boolean-expression	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/UserControls/AccountsListWithPermissions.ascx.cs	37
cs/simplifiable-boolean-expression	cs/simplifiable-boolean-expression	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/UserControls/AccountsList.ascx.cs	43
cs/simplifiable-boolean-expression	cs/simplifiable-boolean-expression	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/Organizations.ascx.cs	39
cs/nested-if-statements	cs/nested-if-statements	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/MailDomainsEditDomain.ascx.cs	45
cs/nested-if-statements	cs/nested-if-statements	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/MailAccessEditAccess.ascx.cs	45
cs/nested-if-statements	cs/nested-if-statements	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Framework/WebPortalPageTitleProvider.cs	38
cs/missed-using-statement	cs/missed-using-statement	FuseCP/Sources/FuseCP.WebPortal/Code/VncWebSocketHandler.cs	66
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/WebSitesEditSite.ascx.cs	731
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/VPS2012/VpsDetailsReplications.ascx.cs	216
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/VPS2012/VpsDetailsGeneral.ascx.cs	111
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/VPS2012/VpsDetailsGeneral.ascx.cs	39
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/VPS2012/VpsDetailsAddPrivateAddress.ascx.cs	86
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/VPS2012/VpsDetailsAddExternalAddress.ascx.cs	101
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/VPS2012/VpsDetailsAddDmzAddress.ascx.cs	86
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserAccountDetails.ascx.cs	82
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SystemSettings.ascx.cs	165
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SqlBackupDatabase.ascx.cs	81
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ServersEditServer.ascx.cs	270
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Proxmox/VpsDetailsReplications.ascx.cs	216
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/MSFTP70_Settings.ascx.cs	55
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/HostedSharePoint30_Settings.ascx.cs	58
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/CRM2011_Settings.ascx.cs	118
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/CRM_Settings.ascx.cs	56
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/ReportingServices/AbstractReportLocalizer.cs	161
cs/missed-ternary-operator	cs/missed-ternary-operator	FuseCP/Sources/FuseCP.WebPortal/Code/FuseCPSiteMapProvider.cs	77
cs/catch-of-all-exceptions	cs/catch-of-all-exceptions	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/MariaDB_EditDatabase.ascx.cs	56
cs/catch-of-all-exceptions	cs/catch-of-all-exceptions	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/AutoUpdateServers.ascx.cs	32
cs/catch-of-all-exceptions	cs/catch-of-all-exceptions	FuseCP/Sources/FuseCP.WebPortal/Code/VncWebSocketHandler.cs	77
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/PackageVLANs.ascx.cs	98
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/PackagePhoneNumbers.ascx.cs	121
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/PackageIPAddresses.ascx.cs	129
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SpaceEditAddon.ascx.cs	100
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ProviderControls/SmarterStats_EditSite.ascx.cs	163
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Login.ascx.cs	319
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/FileManager.ascx.cs	85
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/UserControls/AccountsListWithPermissions.ascx.cs	309
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeMailboxSetupInstructions.ascx.cs	50
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Domains.ascx.cs	266
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Helpers/VirtualMachinesForPCHelper.cs	66
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/PasswordRecoveryAdapter.cs	499
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/PasswordRecoveryAdapter.cs	420
cs/dereferenced-value-may-be-null	cs/dereferenced-value-may-be-null	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/DataListAdapter.cs	140
cs/lock-this	cs/lock-this	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ServersEditServer.ascx.cs	48
cs/lock-this	cs/lock-this	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Framework/FuseCPModuleBase.cs	223
cs/lock-this	cs/lock-this	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Framework/FuseCPModuleBase.cs	195
cs/lock-this	cs/lock-this	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/Code/Framework/FuseCPModuleBase.cs	134
cs/lock-this	cs/lock-this	FuseCP/Sources/FuseCP.WebPortal/Code/FuseCPSiteMapProvider.cs	186
cs/complex-condition	cs/complex-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/PasswordControl.ascx.cs	109
cs/complex-condition	cs/complex-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/EditIPAddressControl.ascx.cs	104
cs/complex-condition	cs/complex-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeDomainRecords.ascx.cs	151
cs/complex-condition	cs/complex-condition	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DnsZoneRecords.ascx.cs	171
cs/complex-condition	cs/complex-condition	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/TreeViewAdapter.cs	492
cs/path-combine	cs/path-combine	FuseCP/Sources/FuseCP.WebPortal/Code/PortalUtils.cs	1194
cs/path-combine	cs/path-combine	FuseCP/Sources/FuseCP.WebPortal/Code/PortalConfiguration.cs	114
cs/path-combine	cs/path-combine	FuseCP/Sources/FuseCP.WebPortal/Code/PortalConfiguration.cs	244
cs/path-combine	cs/path-combine	FuseCP/Sources/FuseCP.WebPortal/Code/PortalConfiguration.cs	136
cs/class-name-matches-base-class	cs/class-name-matches-base-class	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/MenuAdapter.cs	29
cs/expose-implementation	cs/expose-implementation	FuseCP/Sources/FuseCP.WebPortal/Code/Adapters/WebControlAdapterExtender.cs	599
cs/cast-from-abstract-to-concrete-collection	cs/cast-from-abstract-to-concrete-collection	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/WebsitesSSL.ascx.cs	450
cs/local-shadows-member	cs/local-shadows-member	FuseCP/Sources/FuseCP.WebPortal/Code/PortalConfiguration.cs	256
cs/local-shadows-member	cs/local-shadows-member	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/MailAccountsEditAccount.ascx.cs	199
cs/local-not-disposed	cs/local-not-disposed	FuseCP/Sources/FuseCP.WebPortal/Default.aspx.cs	710
cs/dispose-not-called-on-throw	cs/dispose-not-called-on-throw	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ResizeImage.ashx.cs	129
cs/dispose-not-called-on-throw	cs/dispose-not-called-on-throw	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ResizeImage.ashx.cs	128
cs/dispose-not-called-on-throw	cs/dispose-not-called-on-throw	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ResizeImage.ashx.cs	121
cs/dispose-not-called-on-throw	cs/dispose-not-called-on-throw	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ResizeImage.ashx.cs	115
cs/web/ambiguous-client-variable	cs/web/ambiguous-client-variable	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SqlEditDatabase.ascx.cs	42
cs/web/ambiguous-client-variable	cs/web/ambiguous-client-variable	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SkinControls/UserSpaceBreadcrumb.ascx.cs	113
cs/web/ambiguous-client-variable	cs/web/ambiguous-client-variable	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SkinControls/UserSpaceBreadcrumb.ascx.cs	128
cs/web/ambiguous-client-variable	cs/web/ambiguous-client-variable	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsAddDomain.ascx.cs	269
cs/web/ambiguous-client-variable	cs/web/ambiguous-client-variable	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsAddDomain.ascx.cs	201
cs/web/ambiguous-client-variable	cs/web/ambiguous-client-variable	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsAddDomain.ascx.cs	78
cs/web/ambiguous-client-variable	cs/web/ambiguous-client-variable	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/DomainsAddDomain.ascx.cs	38
cs/web/persistent-cookie	cs/web/persistent-cookie	FuseCP/Sources/FuseCP.WebPortal/Code/PortalUtils.cs	799
cs/insecure-randomness	cs/insecure-randomness	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/OrganizationCreateUser.ascx.cs	90
cs/insecure-randomness	cs/insecure-randomness	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeCreateMailbox.ascx.cs	151
cs/insecure-randomness	cs/insecure-randomness	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/ExchangeServer/ExchangeCreateJournalingMailbox.ascx.cs	133
cs/xml/xpath-injection	cs/xml/xpath-injection	FuseCP/Sources/FuseCP.WebPortal/Code/PortalUtils.cs	1206
cs/web/cookie-secure-not-set	cs/web/cookie-secure-not-set	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/LoggedUserEditDetails.ascx.cs	871
cs/web/unvalidated-url-redirection	cs/web/unvalidated-url-redirection	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/VLANsEditVLAN.ascx.cs	80
cs/web/unvalidated-url-redirection	cs/web/unvalidated-url-redirection	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/VLANsAddVLAN.ascx.cs	134
cs/web/unvalidated-url-redirection	cs/web/unvalidated-url-redirection	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/IPAddressesEditIPAddress.ascx.cs	106
cs/web/unvalidated-url-redirection	cs/web/unvalidated-url-redirection	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/IPAddressesAddIPAddress.ascx.cs	163
cs/session-reuse	cs/session-reuse	FuseCP/Sources/FuseCP.WebPortal/Code/PortalUtils.cs	291
cs/session-reuse	cs/session-reuse	FuseCP/Sources/FuseCP.WebPortal/Code/PortalUtils.cs	266
cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/VPS2012/VpsDetailsNetwork.ascx.cs	121
cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/VLANsAddVLAN.ascx.cs	60
cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserControls/MessageBox.ascx.cs	89
cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/UserAccountSummaryLetter.ascx.cs	61
cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/SpaceSummaryLetter.ascx.cs	61
cs/information-exposure-through-exception	cs/information-exposure-through-exception	FuseCP/Sources/FuseCP.WebPortal/DesktopModules/FuseCP/PhoneNumbersAddPhoneNumber.ascx.cs	84
